Cull offscreen layers in ContainerLayerComposite
We are running into performance problems when using will-change with several elements. We are seeing this with the new homescreen when each icon has will-change.

Here is a dump of the layers. More details coming soon. 

I/Gecko   ( 1096): LayerManager (0xaf26cfa0)
I/Gecko   ( 1096):           ContainerLayerComposite (0xb1025400) [shadow-transform=[ 1 0; 0 1; 256 1477.84; ]] [shadow-visible=< (x=22, y=0, w=212, h=263); >] [transform=[ 1 0; 0 1; 256 1477.84; ]] [visible=< (x=22, y=0, w=212, h=263); >]
I/Gecko   ( 1096):             ThebesLayerComposite (0xb102a800) [shadow-visible=< (x=27, y=0, w=202, h=202); (x=22, y=204, w=212, h=58); >] [visible=< (x=27, y=0, w=202, h=202); (x=22, y=204, w=212, h=58); >] [valid=< (x=22, y=0, w=212, h=262); >]
I/Gecko   ( 1096):               ContentHost (0xabda36a0) [buffer-rect=(x=22, y=0, w=212, h=262)] [buffer-rotation=(x=0, y=0)] [paint-will-resample]
I/Gecko   ( 1096):                 GrallocTextureHostOGL (0xad328740) [size=(width=212, height=262)] [format=SurfaceFormat::B8G8R8A8] [flags=]
I/Gecko   ( 1096):           ContainerLayerComposite (0xb1a0e400) [shadow-transform=[ 1 0; 0 1; 512 1477.84; ]] [shadow-visible=< (x=26, y=0, w=204, h=263); >] [transform=[ 1 0; 0 1; 512 1477.84; ]] [visible=< (x=26, y=0, w=204, h=263); >]
I/Gecko   ( 1096):             ThebesLayerComposite (0xb1a0f800) [shadow-visible=< (x=27, y=0, w=202, h=202); (x=68, y=204, w=121, h=58); >] [visible=< (x=27, y=0, w=202, h=202); (x=68, y=204, w=121, h=58); >] [valid=< (x=27, y=0, w=202, h=262); >]
I/Gecko   ( 1096):               ContentHost (0xabda3860) [buffer-rect=(x=27, y=0, w=202, h=262)] [buffer-rotation=(x=0, y=0)] [paint-will-resample]
I/Gecko   ( 1096):                 GrallocTextureHostOGL (0xad3476f0) [size=(width=202, height=262)] [format=SurfaceFormat::B8G8R8A8] [flags=]
I/Gecko   ( 1096):           ContainerLayerComposite (0xb1a0fc00) [shadow-transform=[ 1 0; 0 1; 0 1743.95; ]] [shadow-visible=< (x=15, y=0, w=226, h=263); >] [transform=[ 1 0; 0 1; 0 1743.95; ]] [visible=< (x=15, y=0, w=226, h=263); >]
I/Gecko   ( 1096):             ThebesLayerComposite (0xb1a10400) [shadow-visible=< (x=27, y=0, w=202, h=202); (x=16, y=204, w=225, h=58); >] [visible=< (x=27, y=0, w=202, h=202); (x=16, y=204, w=225, h=58); >] [valid=< (x=16, y=0, w=225, h=262); >]
I/Gecko   ( 1096):               ContentHost (0xabda3a20) [buffer-rect=(x=16, y=0, w=225, h=262)] [buffer-rotation=(x=0, y=0)] [paint-will-resample]
I/Gecko   ( 1096):                 GrallocTextureHostOGL (0xad347790) [size=(width=225, height=262)] [format=SurfaceFormat::B8G8R8A8] [flags=]
I/Gecko   ( 1096):           ContainerLayerComposite (0xb1a13000) [shadow-transform=[ 1 0; 0 1; 256 1743.95; ]] [shadow-visible=< (x=0, y=0, w=256, h=263); >] [transform=[ 1 0; 0 1; 256 1743.95; ]] [visible=< (x=0, y=0, w=256, h=263); >]
I/Gecko   ( 1096):             ThebesLayerComposite (0xb1a13400) [shadow-visible=< (x=27, y=0, w=202, h=202); (x=0, y=204, w=256, h=58); >] [visible=< (x=27, y=0, w=202, h=202); (x=0, y=204, w=256, h=58); >] [valid=< (x=0, y=0, w=256, h=262); >]
I/Gecko   ( 1096):               ContentHost (0xabda37f0) [buffer-rect=(x=0, y=0, w=256, h=262)] [buffer-rotation=(x=0, y=0)] [paint-will-resample]
I/Gecko   ( 1096):                 GrallocTextureHostOGL (0xad347830) [size=(width=256, height=262)] [format=SurfaceFormat::B8G8R8A8] [flags=]
I/Gecko   ( 1096):           ContainerLayerComposite (0xb1a13c00) [shadow-transform=[ 1 0; 0 1; 512 1743.95; ]] [shadow-visible=< (x=0, y=0, w=256, h=263); >] [transform=[ 1 0; 0 1; 512 1743.95; ]] [visible=< (x=0, y=0, w=256, h=263); >]
I/Gecko   ( 1096):             ThebesLayerComposite (0xb1a14000) [shadow-visible=< (x=27, y=0, w=202, h=202); (x=0, y=204, w=256, h=58); >] [visible=< (x=27, y=0, w=202, h=202); (x=0, y=204, w=256, h=58); >] [valid=< (x=0, y=0, w=256, h=262); >]
I/Gecko   ( 1096):               ContentHost (0xabda3a90) [buffer-rect=(x=0, y=0, w=256, h=262)] [buffer-rotation=(x=0, y=0)] [paint-will-resample]
I/Gecko   ( 1096):                 GrallocTextureHostOGL (0xad347b50) [size=(width=256, height=262)] [format=SurfaceFormat::B8G8R8A8] [flags=]
I/Gecko   ( 1096):           ContainerLayerComposite (0xb1a14400) [shadow-transform=[ 1 0; 0 1; 0 2010.05; ]] [shadow-visible=< (x=26, y=0, w=204, h=263); >] [transform=[ 1 0; 0 1; 0 2010.05; ]] [visible=< (x=26, y=0, w=204, h=263); >]
I/Gecko   ( 1096):             ThebesLayerComposite (0xb1a14800) [shadow-visible=< (x=27, y=0, w=202, h=202); (x=45, y=204, w=167, h=58); >] [visible=< (x=27, y=0, w=202, h=202); (x=45, y=204, w=167, h=58); >] [valid=< (x=27, y=0, w=202, h=262); >]
I/Gecko   ( 1096):               ContentHost (0xabda39b0) [buffer-rect=(x=27, y=0, w=202, h=262)] [buffer-rotation=(x=0, y=0)] [paint-will-resample]
I/Gecko   ( 1096):                 GrallocTextureHostOGL (0xad347bf0) [size=(width=202, height=262)] [format=SurfaceFormat::B8G8R8A8] [flags=]
I/Gecko   ( 1096):           ContainerLayerComposite (0xb1a14c00) [shadow-transform=[ 1 0; 0 1; 256 2010.05; ]] [shadow-visible=< (x=26, y=0, w=204, h=263); >] [transform=[ 1 0; 0 1; 256 2010.05; ]] [visible=< (x=26, y=0, w=204, h=263); >]
I/Gecko   ( 1096):             ThebesLayerComposite (0xb1c3ac00) [shadow-visible=< (x=27, y=0, w=202, h=202); (x=52, y=204, w=153, h=58); >] [visible=< (x=27, y=0, w=202, h=202); (x=52, y=204, w=153, h=58); >] [valid=< (x=27, y=0, w=202, h=262); >]
I/Gecko   ( 1096):               ContentHost (0xabda3be0) [buffer-rect=(x=27, y=0, w=202, h=262)] [buffer-rotation=(x=0, y=0)] [paint-will-resample]
I/Gecko   ( 1096):                 GrallocTextureHostOGL (0xad347e70) [size=(width=202, height=262)] [format=SurfaceFormat::B8G8R8A8] [flags=]
I/Gecko   ( 1096):           ContainerLayerComposite (0xb6adbc00) [shadow-transform=[ 1 0; 0 1; 512 2010.05; ]] [shadow-visible=< (x=0, y=0, w=256, h=263); >] [transform=[ 1 0; 0 1; 512 2010.05; ]] [visible=< (x=0, y=0, w=256, h=263); >]
I/Gecko   ( 1096):             ThebesLayerComposite (0xad6f2400) [shadow-visible=< (x=27, y=0, w=202, h=202); (x=0, y=204, w=256, h=58); >] [visible=< (x=27, y=0, w=202, h=202); (x=0, y=204, w=256, h=58); >] [valid=< (x=0, y=0, w=256, h=262); >]
I/Gecko   ( 1096):               ContentHost (0xabda3940) [buffer-rect=(x=0, y=0, w=256, h=262)] [buffer-rotation=(x=0, y=0)] [paint-will-resample]
I/Gecko   ( 1096):                 GrallocTextureHostOGL (0xad347f10) [size=(width=256, height=262)] [format=SurfaceFormat::B8G8R8A8] [flags=]
I/Gecko   ( 1096):           ContainerLayerComposite (0xad6f7c00) [shadow-transform=[ 1 0; 0 1; 0 2276.16; ]] [shadow-visible=< (x=26, y=0, w=204, h=263); >] [transform=[ 1 0; 0 1; 0 2276.16; ]] [visible=< (x=26, y=0, w=204, h=263); >]
I/Gecko   ( 1096):             ThebesLayerComposite (0xad6f8000) [shadow-visible=< (x=27, y=0, w=202, h=202); (x=64, y=204, w=128, h=58); >] [visible=< (x=27, y=0, w=202, h=202); (x=64, y=204, w=128, h=58); >] [valid=< (x=27, y=0, w=202, h=262); >]
I/Gecko   ( 1096):               ContentHost (0xabd8b510) [buffer-rect=(x=27, y=0, w=202, h=262)] [buffer-rotation=(x=0, y=0)] [paint-will-resample]
I/Gecko   ( 1096):                 GrallocTextureHostOGL (0xad3843d0) [size=(width=202, height=262)] [format=SurfaceFormat::B8G8R8A8] [flags=]
I/Gecko   ( 1096):           ContainerLayerComposite (0xad6f8400) [shadow-transform=[ 1 0; 0 1; 256 2276.16; ]] [shadow-visible=< (x=22, y=0, w=212, h=263); >] [transform=[ 1 0; 0 1; 256 2276.16; ]] [visible=< (x=22, y=0, w=212, h=263); >]
I/Gecko   ( 1096):             ThebesLayerComposite (0xad6f8800) [shadow-visible=< (x=27, y=0, w=202, h=202); (x=23, y=204, w=211, h=58); >] [visible=< (x=27, y=0, w=202, h=202); (x=23, y=204, w=211, h=58); >] [valid=< (x=23, y=0, w=211, h=262); >]
I/Gecko   ( 1096):               ContentHost (0xabd8b5f0) [buffer-rect=(x=23, y=0, w=211, h=262)] [buffer-rotation=(x=0, y=0)] [paint-will-resample]
I/Gecko   ( 1096):                 GrallocTextureHostOGL (0xad384470) [size=(width=211, height=262)] [format=SurfaceFormat::B8G8R8A8] [flags=]
I/Gecko   ( 1096):           ContainerLayerComposite (0xad6f8c00) [shadow-transform=[ 1 0; 0 1; 512 2276.16; ]] [shadow-visible=< (x=26, y=0, w=204, h=263); >] [transform=[ 1 0; 0 1; 512 2276.16; ]] [visible=< (x=26, y=0, w=204, h=263); >]
I/Gecko   ( 1096):             ThebesLayerComposite (0xad6f9000) [shadow-visible=< (x=27, y=0, w=202, h=202); (x=40, y=204, w=177, h=58); >] [visible=< (x=27, y=0, w=202, h=202); (x=40, y=204, w=177, h=58); >] [valid=< (x=27, y=0, w=202, h=262); >]
I/Gecko   ( 1096):               ContentHost (0xabd8b6d0) [buffer-rect=(x=27, y=0, w=202, h=262)] [buffer-rotation=(x=0, y=0)] [paint-will-resample]
I/Gecko   ( 1096):                 GrallocTextureHostOGL (0xad384510) [size=(width=202, height=262)] [format=SurfaceFormat::B8G8R8A8] [flags=]
I/Gecko   ( 1096):       ContainerLayerComposite (0xaddf6400) [shadow-clip=(x=0, y=0, w=768, h=1280)] [shadow-visible=< (x=517, y=3, w=234, h=37); >] [clip=(x=0, y=0, w=768, h=1280)] [visible=< (x=517, y=3, w=234, h=37); >] [componentAlpha]
I/Gecko   ( 1096):         ThebesLayerComposite (0xaddf6800) [shadow-visible=< (x=654, y=3, w=63, h=5); (x=517, y=8, w=200, h=4); (x=517, y=12, w=234, h=26); (x=517, y=38, w=200, h=2); >] [visible=< (x=654, y=3, w=63, h=5); (x=517, y=8, w=200, h=4); (x=517, y=12, w=234, h=26); (x=517, y=38, w=200, h=2); >] [componentAlpha] [valid=< (x=512, y=3, w=239, h=37); >]
I/Gecko   ( 1096):           ContentHost (0xb0e427f0) [buffer-rect=(x=512, y=3, w=239, h=37)] [buffer-rotation=(x=0, y=0)] [paint-will-resample]
I/Gecko   ( 1096):             GrallocTextureHostOGL (0xad307380) [size=(width=239, height=37)] [format=SurfaceFormat::B8G8R8A8] [flags=]
I/Gecko   ( 1096):
