crash in hang | RtlpWaitOnCriticalSection | RtlDosApplyFileIsolationRedirection_Ustr | RtlDeNormalizeProcessParams | RtlAllocateMemoryBlockLookaside | LdrpLoadDll
This bug was filed from the Socorro interface and is 
report bp-32c7a822-d596-4eb2-b680-fb04d2150512.
=============================================================


Crashing Thread
Frame 	Module 	Signature 	Source
25 	rpcrt4.dll 	NDRHash<_REFID_TO_FULLPTR_ELEMENT>::Lookup(unsigned __int64) 	
26 	mmdevapi.dll 	memcmp 	
27 	kernelbase.dll 	LoadLibraryExA 	
28 	ntdll.dll 	RtlAllocateMemoryBlockLookaside 	
29 	mmdevapi.dll 	CreateEndpointEnumerator(unsigned int, unsigned long, IMMDeviceEnumerator**) 	
30 	mmdevapi.dll 	CreateEndpointEnumerator(unsigned int, unsigned long, IMMDeviceEnumerator**) 	
31 	mmdevapi.dll 	memcmp 	
32 	ntdll.dll 	RtlRunOnceComplete 	
33 	mmdevapi.dll 	memcmp 	
34 	mmdevapi.dll 	memcmp 	
35 	kernel32.dll 	InitOnceExecuteOnce 	
36 	mmdevapi.dll 	CEndpointDevice::GetState(unsigned long*) 	
37 	mmdevapi.dll 	memcmp 	
38 	mmdevapi.dll 	CPnpDevNodeCollection::CPnpDevNodeCollection(IUnknown*) 	
39 	mmdevapi.dll 	memcmp 	
40 	MMDevAPI.dll 	CDeviceEnumerator::FinalConstruct() 	
41 	MMDevAPI.dll 	ATL::CComObjectCached<CDeviceEnumerator>::CreateInstance(ATL::CComObjectCached<CDeviceEnumerator>**) 	
42 	MMDevAPI.dll 	_imp_load_SetupDiCreateDeviceInfoList 	
43 	ole32.dll 	CRpcChannelBuffer::SendReceive(tagRPCOLEMESSAGE*, unsigned long*) 	
44 	ole32.dll 	CServerContextActivator::CreateInstance(IUnknown*, IActivationPropertiesIn*, IActivationPropertiesOut**) 	
45 	ntdll.dll 	RtlAllocateMemoryBlockLookaside 	
46 	ole32.dll 	CRpcChannelBuffer::SendReceive(tagRPCOLEMESSAGE*, unsigned long*) 	
47 	ole32.dll 	CProcessActivator::CreateInstance(IUnknown*, IActivationPropertiesIn*, IActivationPropertiesOut**) 	
48 	ole32.dll 	CRpcChannelBuffer::SendReceive(tagRPCOLEMESSAGE*, unsigned long*) 	
49 	ole32.dll 	ActivationPropertiesIn::DelegateCreateInstance(IUnknown*, IActivationPropertiesOut**) 	
50 	ole32.dll 	CComClassInfo::QueryInterface(_GUID const&, void**) 	
51 	ole32.dll 	CProcessActivator::CreateInstance(IUnknown*, IActivationPropertiesIn*, IActivationPropertiesOut**) 	
52 	ole32.dll 	CRpcChannelBuffer::SendReceive(tagRPCOLEMESSAGE*, unsigned long*) 	
53 	ole32.dll 	CApartmentActivator::CreateInstance(IUnknown*, IActivationPropertiesIn*, IActivationPropertiesOut**) 	
54 	ole32.dll 	CRpcChannelBuffer::SendReceive(tagRPCOLEMESSAGE*, unsigned long*) 	
55 	ole32.dll 	CProcessActivator::GetApartmentActivator(ActivationPropertiesIn*, ISystemActivator**) 	
56 	ole32.dll 	CProcessActivator::CCICallback(unsigned long, IUnknown*, ActivationPropertiesIn*, IActivationPropertiesIn*, IActivationPropertiesOut**) 	
57 	ole32.dll 	CRpcChannelBuffer::SendReceive(tagRPCOLEMESSAGE*, unsigned long*) 	
58 	ole32.dll 	CRpcChannelBuffer::SendReceive(tagRPCOLEMESSAGE*, unsigned long*) 	
59 	ntdll.dll 	RtlpFindNextActivationContextSection 	
60 	ole32.dll 	CProcessActivator::AttemptActivation(ActivationPropertiesIn*, IUnknown*, IActivationPropertiesIn*, IActivationPropertiesOut**, long ( CProcessActivator::*)(unsigned long, IUnknown*, ActivationPropertiesIn*, IActivationPropertiesIn*, IActivationPropertiesOut**), unsigned long) 	
61 	ole32.dll 	CRpcChannelBuffer::SendReceive(tagRPCOLEMESSAGE*, unsigned long*) 	
62 	ole32.dll 	CRpcChannelBuffer::SendReceive(tagRPCOLEMESSAGE*, unsigned long*) 	
63 	ole32.dll 	CProcessActivator::ActivateByContext(ActivationPropertiesIn*, IUnknown*, IActivationPropertiesIn*, IActivationPropertiesOut**, long ( CProcessActivator::*)(unsigned long, IUnknown*, ActivationPropertiesIn*, IActivationPropertiesIn*, IActivationPropertiesOut**)) 	
64 	ntdll.dll 	RtlFindActivationContextSectionGuid 	
65 	ole32.dll 	CProcessActivator::CreateInstance(IUnknown*, IActivationPropertiesIn*, IActivationPropertiesOut**) 	
66 	ole32.dll 	CRpcChannelBuffer::SendReceive(tagRPCOLEMESSAGE*, unsigned long*) 	
67 	ole32.dll 	CProcessActivator::CreateInstance(IUnknown*, IActivationPropertiesIn*, IActivationPropertiesOut**) 	
68 	ole32.dll 	CRpcChannelBuffer::SendReceive(tagRPCOLEMESSAGE*, unsigned long*) 	
69 	ole32.dll 	CProcessActivator::CreateInstance(IUnknown*, IActivationPropertiesIn*, IActivationPropertiesOut**) 	
70 	ole32.dll 	ActivationPropertiesIn::DelegateCreateInstance(IUnknown*, IActivationPropertiesOut**) 	
71 	ole32.dll 	CRpcChannelBuffer::SendReceive(tagRPCOLEMESSAGE*, unsigned long*) 	
72 	ole32.dll 	CClientContextActivator::CreateInstance(IUnknown*, IActivationPropertiesIn*, IActivationPropertiesOut**) 	
73 	ole32.dll 	InternalVerifyStackAvailable
