qm-win2k3-03 mochitest intermittently leaking huge amounts
One of the Win32 unittest boxes is occasionally leaking a huge amount of objects during mochitest. I'm still tracking down the first occurrence of this, it's been doing this for a while. Sample output:

TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 294985 bytes during test execution (should have leaked no more than 0 bytes)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 6 instances of nsCSSValueListRect with size 16 bytes each (96 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 40 instances of nsCSSValuePair with size 16 bytes each (640 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 6 instances of nsCSSXUL with size 56 bytes each (336 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 475 instances of nsCStringKey with size 16 bytes each (7600 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 12 instances of nsCacheEntryDescriptor with size 24 bytes each (288 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsCacheEntryHashTable with size 36 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsCacheService with size 124 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 3 instances of nsCategoryObserver with size 56 bytes each (168 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsCharsetAlias2 with size 12 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsCharsetConverterManager with size 48 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsChildContentList with size 12 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsCollation with size 8 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsCollationWin with size 16 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsCommentNode with size 32 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsConsoleService with size 76 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsContentPolicy with size 32 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsCookiePermission with size 32 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsCookieService with size 96 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsDNSService with size 40 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsDOMStorageManager with size 44 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsDateTimeFormatWin with size 36 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsDeque with size 52 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsDocShell::InterfaceRequestorProxy with size 12 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsDocument with size 508 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsEffectiveTLDService with size 44 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsErrorService with size 128 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsEventListenerThisTranslator with size 8 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsExceptionManager with size 20 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsExtensibleStringBundle with size 16 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsExternalHelperAppService with size 36 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 25 instances of nsGenericDOMDataNode with size 28 bytes each (700 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsGenericDOMNodeList with size 8 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 17 instances of nsGenericElement with size 24 bytes each (408 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 2 instances of nsGenericFactory with size 16 bytes each (32 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsHTMLAnchorElement with size 40 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsHTMLBodyElement with size 32 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 2 instances of nsHTMLDivElement with size 28 bytes each (56 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsHTMLHeadElement with size 28 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsHTMLHtmlElement with size 28 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsHTMLLinkElement with size 56 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsHTMLParagraphElement with size 28 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsHTMLPreElement with size 28 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 3 instances of nsHTMLScriptElement with size 48 bytes each (144 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsHTMLSpanElement with size 28 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsHTMLStyleSheet with size 92 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 6 instances of nsHTMLStyleSheet::GenericTableRule with size 8 bytes each (48 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsHTMLTitleElement with size 28 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 477 instances of nsHashKey with size 4 bytes each (1908 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsHashPropertyBag with size 44 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 71 instances of nsHashtable with size 44 bytes each (3124 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsHttpChannel with size 400 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsHttpConnectionInfo with size 40 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsHttpHandler with size 340 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsIDNService with size 60 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsIOService with size 116 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsIdleServiceWin with size 16 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsImageFrame::IconLoad with size 24 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsJISx4051LineBreaker with size 8 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsJSContext with size 56 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 26 instances of nsJSID with size 32 bytes each (832 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsJSRuntimeServiceImpl with size 24 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsLanguageAtomService with size 52 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsLayoutStatics with size 1 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsLayoutStylesheetCache with size 24 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 2 instances of nsLoadGroup with size 4 bytes each (8 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 12 instances of nsLocalFile with size 88 bytes each (1056 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 7 instances of nsMediaList with size 16 bytes each (112 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsMetaCharsetObserver with size 36 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsNativeThemeWin with size 8 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsNavBookmarks with size 192 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 21 instances of nsNodeInfo with size 28 bytes each (588 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 2 instances of nsNodeInfoManager with size 36 bytes each (72 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsNotifyAddrListener with size 176 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 4 instances of nsNullPrincipal with size 36 bytes each (144 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsObserverEntry with size 448 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsObserverService with size 44 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsOnloadBlocker with size 8 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsParserService with size 64 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsPermissionManager with size 96 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 26 instances of nsPersistentProperties with size 84 bytes each (2184 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsPref with size 40 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 3 instances of nsPrefBranch with size 52 bytes each (156 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsPrefService with size 36 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 79 instances of nsPrincipal with size 72 bytes each (5688 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 12 instances of nsProperties with size 4 bytes each (48 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 392 instances of nsPseudoClassList with size 12 bytes each (4704 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 3 instances of nsRDFResource with size 24 bytes each (72 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 2 instances of nsRadioVisitor with size 8 bytes each (16 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsRangeUtils with size 8 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 13 instances of nsRect with size 16 bytes each (208 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsRepeatService with size 20 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsRunnable with size 8 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsSampleWordBreaker with size 8 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 250 instances of nsScriptError with size 68 bytes each (17000 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsScriptLoader with size 36 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsScriptLoaderObserverProxy with size 12 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsScriptSecurityManager with size 92 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 4 instances of nsSimpleURI with size 4 bytes each (16 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsSocketTransportService with size 1672 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 239 instances of nsStandardURL with size 172 bytes each (41108 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 3 instances of nsStaticCaseInsensitiveNameTable with size 48 bytes each (144 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 2077 instances of nsStringBuffer with size 8 bytes each (16616 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 25 instances of nsStringBundle with size 32 bytes each (800 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsStringBundleService with size 108 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsSupportsArray with size 52 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 12 instances of nsSupportsCStringImpl with size 20 bytes each (240 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsSystemPrincipal with size 32 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 700 instances of nsTArray_base with size 4 bytes each (2800 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 23 instances of nsTextNode with size 32 bytes each (736 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 12 instances of nsThebesImage with size 96 bytes each (1152 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsThread with size 68 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsThreadPool with size 52 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsTimerImpl with size 48 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsURIAndPrincipalHashKey with size 12 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 2 instances of nsURIHashKey with size 8 bytes each (16 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsUnicodeNormalizer with size 8 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsVariant with size 56 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 134 instances of nsVoidArray with size 4 bytes each (536 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 22 instances of nsWeakReference with size 12 bytes each (264 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsXBLBinding with size 28 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsXBLDocGlobalObject with size 24 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsXBLDocumentInfo with size 40 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsXBLProtoImpl with size 32 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsXBLProtoImplMethod with size 16 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsXBLPrototypeBinding with size 56 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsXBLService with size 52 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsXMLCDATASection with size 32 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsXMLDocument with size 520 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 3 instances of nsXMLElement with size 28 bytes each (84 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 34 instances of nsXPCComponents with size 56 bytes each (1904 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 33 instances of nsXPCComponents_Classes with size 16 bytes each (528 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsXPCComponents_Constructor with size 16 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 32 instances of nsXPCComponents_ID with size 16 bytes each (512 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 33 instances of nsXPCComponents_Interfaces with size 24 bytes each (792 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 23 instances of nsXPCComponents_Results with size 16 bytes each (368 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 21 instances of nsXPCComponents_Utils with size 20 bytes each (420 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 2 instances of nsXPCComponents_utils_Sandbox with size 12 bytes each (24 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsXPCThreadJSContextStackImpl with size 16 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsXPCWrappedJS with size 56 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsXPCWrappedJSClass with size 40 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsXPConnect with size 92 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsXTFService with size 40 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsXULPopupManager with size 64 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsXULPrototypeCache with size 172 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of xpcPerThreadData with size 52 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 140 instances of xptiFile with size 32 bytes each (4480 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 12 instances of xptiInterfaceInfo with size 16 bytes each (192 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of xptiInterfaceInfoManager with size 144 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of xptiWorkingSet with size 52 bytes
