Intermittent leak in 612662-1.svg
This may have been fixed by backing out another bug that caused other test failures, but filing just in case.

nsTraceRefcntImpl::DumpStatistics: 1194 entry
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 2216635 byte during test execution
TEST-INFO | automationutils.processLeakLog() | leaked 148 instance of nsCSSValue::URL with size 24 byte each (3552 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 115 instance of nsCSSValueList with size 12 byte each (1380 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 95 instance of nsCSSValueList_heap with size 20 byte each (1900 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 17 instance of nsCSSValuePairList with size 20 byte each (340 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 17 instance of nsCSSValuePairList_heap with size 28 byte each (476 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 39 instance of nsCStringKey with size 20 byte each (780 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsCaret with size 92 byte
TEST-INFO | automationutils.processLeakLog() | leaked 3 instance of nsCategoryObserver with size 64 byte each (192 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsCharsetConverterManager with size 20 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsCodeBasePrefObserver with size 12 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsConsoleMessage with size 24 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsConsoleService with size 80 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsContentPolicy with size 36 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsDNSService with size 48 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsDOMEventGroup with size 12 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsDOMStorageManager with size 52 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsDateTimeFormatUnix with size 72 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsDeque with size 52 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsDocViewerFocusListener with size 16 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsDocViewerSelectionListener with size 20 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsDocument with size 768 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsDragService with size 136 byte
TEST-INFO | automationutils.processLeakLog() | leaked 2 instance of nsEmptyStyleRule with size 12 byte each (24 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsErrorService with size 132 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsEvent with size 44 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsEventListenerManager with size 96 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsEventListenerThisTranslator with size 12 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsEventStateManager with size 168 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsExceptionManager with size 24 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsExtensibleStringBundle with size 20 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsFileChannel with size 176 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsFocusManager with size 56 byte
TEST-INFO | automationutils.processLeakLog() | leaked 4 instance of nsFrame with size 52 byte each (208 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 7 instance of nsFrameList with size 8 byte each (56 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsFrameSelection with size 220 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsGenericElement with size 52 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsHTMLCSSStyleSheet with size 24 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsHTMLDNSPrefetch::nsDeferrals with size 4136 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsHTMLDNSPrefetch::nsListener with size 12 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsHTMLStyleSheet with size 76 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsHTMLStyleSheet::GenericTableRule with size 12 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1158 instance of nsHashKey with size 8 byte each (9264 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsHashPropertyBag with size 48 byte
TEST-INFO | automationutils.processLeakLog() | leaked 8 instance of nsHashtable with size 44 byte each (352 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 581 instance of nsHtml5AttributeName with size 16 byte each (9296 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 392 instance of nsHtml5ElementName with size 16 byte each (6272 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsHtml5HtmlAttributes with size 24 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsIDNService with size 64 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsIOService with size 124 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsImageFrame::IconLoad with size 44 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsJISx4051LineBreaker with size 12 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsLanguageAtomService with size 56 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsLayoutStatics with size 1 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsLayoutStylesheetCache with size 36 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsLoadGroup with size 8 byte
TEST-INFO | automationutils.processLeakLog() | leaked 4 instance of nsLocalFile with size 124 byte each (496 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 7 instance of nsMediaList with size 24 byte each (168 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsNativeTheme with size 112 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsNativeThemeGTK with size 1176 byte
TEST-INFO | automationutils.processLeakLog() | leaked 3 instance of nsNodeInfo with size 36 byte each (108 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsNodeInfoManager with size 40 byte
TEST-INFO | automationutils.processLeakLog() | leaked 2 instance of nsNullPrincipal with size 36 byte each (72 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 2 instance of nsNullPrincipalURI with size 36 byte each (72 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsOnloadBlocker with size 12 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsParserService with size 68 byte
TEST-INFO | automationutils.processLeakLog() | leaked 23 instance of nsPersistentProperties with size 80 byte each (1840 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 2 instance of nsPrefBranch with size 80 byte each (160 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 15786 instance of nsPrefOldCallback with size 36 byte each (568296 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsPrefService with size 40 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsPresContext with size 732 byte
TEST-INFO | automationutils.processLeakLog() | leaked 23 instance of nsPrincipal with size 76 byte each (1748 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsPrivateBrowsingObserver with size 24 byte
TEST-INFO | automationutils.processLeakLog() | leaked 22 instance of nsProperties with size 8 byte each (176 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 485 instance of nsPseudoClassList with size 12 byte each (5820 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 3 instance of nsRDFResource with size 28 byte each (84 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsRangeUtils with size 12 byte
TEST-INFO | automationutils.processLeakLog() | leaked 19 instance of nsRect with size 16 byte each (304 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsRefreshDriver with size 252 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsRepeatService with size 24 byte
TEST-INFO | automationutils.processLeakLog() | leaked 10 instance of nsRuleNode with size 40 byte each (400 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsSMILAnimationController with size 160 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsSVGDocument with size 776 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsSVGElement with size 72 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsSVGRenderingObserver with size 16 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsSVGRenderingObserverList with size 32 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsSVGSVGElement with size 236 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsSVGStylableElement with size 84 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsSameOriginChecker with size 16 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsSampleWordBreaker with size 12 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsScreenGtk with size 48 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsScreenManagerGtk with size 28 byte
TEST-INFO | automationutils.processLeakLog() | leaked 249 instance of nsScriptError with size 84 byte each (20916 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsScriptLoader with size 64 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsScriptLoaderObserverProxy with size 16 byte
TEST-INFO | automationutils.processLeakLog() | leaked 2 instance of nsScriptNameSpaceManager with size 56 byte each (112 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsScriptSecurityManager with size 84 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsSocketTransportService with size 1684 byte
TEST-INFO | automationutils.processLeakLog() | leaked 183 instance of nsStandardURL with size 188 byte each (34404 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 4 instance of nsStaticCaseInsensitiveNameTable with size 48 byte each (192 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 35220 instance of nsStringBuffer with size 8 byte each (281760 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 24 instance of nsStringBundle with size 40 byte each (960 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsStringBundleService with size 112 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1117 instance of nsStringKey with size 20 byte each (22340 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 2 instance of nsStyleBackground with size 104 byte each (208 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 2 instance of nsStyleBorder with size 160 byte each (320 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsStyleColor with size 4 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsStyleColumn with size 36 byte
TEST-INFO | automationutils.processLeakLog() | leaked 2 instance of nsStyleContent with size 32 byte each (64 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 4 instance of nsStyleContext with size 84 byte each (336 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 6 instance of nsStyleDisplay with size 156 byte each (936 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsStyleFont with size 76 byte
TEST-INFO | automationutils.processLeakLog() | leaked 2 instance of nsStyleImage with size 16 byte each (32 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsStyleList with size 24 byte
TEST-INFO | automationutils.processLeakLog() | leaked 3 instance of nsStyleMargin with size 40 byte each (120 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 2 instance of nsStyleOutline with size 68 byte each (136 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 3 instance of nsStylePadding with size 40 byte each (120 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 2 instance of nsStylePosition with size 80 byte each (160 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsStyleQuotes with size 8 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsStyleSVG with size 84 byte
TEST-INFO | automationutils.processLeakLog() | leaked 2 instance of nsStyleSVGReset with size 36 byte each (72 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsStyleTable with size 12 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsStyleTableBorder with size 12 byte
TEST-INFO | automationutils.processLeakLog() | leaked 3 instance of nsStyleText with size 40 byte each (120 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 3 instance of nsStyleTextReset with size 12 byte each (36 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsStyleUIReset with size 4 byte
TEST-INFO | automationutils.processLeakLog() | leaked 3 instance of nsStyleUserInterface with size 12 byte each (36 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 3 instance of nsStyleVisibility with size 12 byte each (36 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsStyleXUL with size 16 byte
TEST-INFO | automationutils.processLeakLog() | leaked 22 instance of nsSupportsCStringImpl with size 24 byte each (528 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsSystemPrincipal with size 36 byte
TEST-INFO | automationutils.processLeakLog() | leaked 16990 instance of nsTArray_base with size 4 byte each (67960 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsThebesDeviceContext with size 84 byte
TEST-INFO | automationutils.processLeakLog() | leaked 2 instance of nsThread with size 96 byte each (192 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 4 instance of nsTimerImpl with size 72 byte each (288 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsTransitionManager with size 28 byte
TEST-INFO | automationutils.processLeakLog() | leaked 9 instance of nsTypedSelection with size 68 byte each (612 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsUITimerCallback with size 16 byte
TEST-INFO | automationutils.processLeakLog() | leaked 5 instance of nsURIHashKey with size 8 byte each (40 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsUnicodeNormalizer with size 12 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsVariant with size 48 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsView with size 108 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsViewManager with size 72 byte
TEST-INFO | automationutils.processLeakLog() | leaked 73 instance of nsVoidArray with size 4 byte each (292 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 32 instance of nsWeakReference with size 16 byte each (512 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsXBLService with size 56 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsXMLDocument with size 772 byte
TEST-INFO | automationutils.processLeakLog() | leaked 2 instance of nsXPCComponents with size 60 byte each (120 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsXPCComponents_Classes with size 20 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsXPCComponents_ID with size 20 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsXPCComponents_Interfaces with size 28 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsXPCComponents_Results with size 20 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsXPCComponents_Utils with size 24 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsXPConnect with size 100 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsXPLookAndFeel with size 16 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsXTFService with size 44 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsXULPopupManager with size 72 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsXULPrototypeCache with size 176 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of xpcPerThreadData with size 44 byte
TEST-INFO | automationutils.processLeakLog() | leaked 23 instance of xptiInterfaceInfo with size 20 byte each (460 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of xptiInterfaceInfoManager with size 104 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of xptiWorkingSet with size 72 byte

http://tinderbox.mozilla.org/showlog.cgi?log=Firefox/1301573665.1301574398.25570.gz&fulltext=1
