qm-win2k3-03 mochitest intermittently leaking huge amount
One of the Win32 unittest box is occasionally leaking a huge amount of object during mochitest. I'm still tracking down the first occurrence of this, it's been doing this for a while. Sample output:

TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 294985 byte during test execution (should have leaked no more than 0 bytes)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 26 instance of nsPersistentProperties with size 84 byte each (2184 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsPref with size 40 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 3 instance of nsPrefBranch with size 52 byte each (156 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsPrefService with size 36 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 79 instance of nsPrincipal with size 72 byte each (5688 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 12 instance of nsProperties with size 4 byte each (48 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 392 instance of nsPseudoClassList with size 12 byte each (4704 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 3 instance of nsRDFResource with size 24 byte each (72 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 2 instance of nsRadioVisitor with size 8 byte each (16 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsRangeUtils with size 8 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 13 instance of nsRect with size 16 byte each (208 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsRepeatService with size 20 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsRunnable with size 8 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsSampleWordBreaker with size 8 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 250 instance of nsScriptError with size 68 byte each (17000 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsScriptLoader with size 36 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsScriptLoaderObserverProxy with size 12 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsScriptSecurityManager with size 92 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 4 instance of nsSimpleURI with size 4 byte each (16 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsSocketTransportService with size 1672 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 239 instance of nsStandardURL with size 172 byte each (41108 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 3 instance of nsStaticCaseInsensitiveNameTable with size 48 byte each (144 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 2077 instance of nsStringBuffer with size 8 byte each (16616 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 25 instance of nsStringBundle with size 32 byte each (800 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsStringBundleService with size 108 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsSupportsArray with size 52 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 12 instance of nsSupportsCStringImpl with size 20 byte each (240 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsSystemPrincipal with size 32 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 700 instance of nsTArray_base with size 4 byte each (2800 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 23 instance of nsTextNode with size 32 byte each (736 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 12 instance of nsThebesImage with size 96 byte each (1152 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsThread with size 68 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsThreadPool with size 52 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsTimerImpl with size 48 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsURIAndPrincipalHashKey with size 12 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 2 instance of nsURIHashKey with size 8 byte each (16 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsUnicodeNormalizer with size 8 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsVariant with size 56 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 134 instance of nsVoidArray with size 4 byte each (536 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 22 instance of nsWeakReference with size 12 byte each (264 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsXBLBinding with size 28 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsXBLDocGlobalObject with size 24 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsXBLDocumentInfo with size 40 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsXBLProtoImpl with size 32 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsXBLProtoImplMethod with size 16 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsXBLPrototypeBinding with size 56 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsXBLService with size 52 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsXMLCDATASection with size 32 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsXMLDocument with size 520 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 3 instance of nsXMLElement with size 28 byte each (84 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 34 instance of nsXPCComponents with size 56 byte each (1904 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 33 instance of nsXPCComponents_Classes with size 16 byte each (528 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsXPCComponents_Constructor with size 16 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 32 instance of nsXPCComponents_ID with size 16 byte each (512 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 33 instance of nsXPCComponents_Interfaces with size 24 byte each (792 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 23 instance of nsXPCComponents_Results with size 16 byte each (368 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 21 instance of nsXPCComponents_Utils with size 20 byte each (420 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 2 instance of nsXPCComponents_utils_Sandbox with size 12 byte each (24 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsXPCThreadJSContextStackImpl with size 16 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsXPCWrappedJS with size 56 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsXPCWrappedJSClass with size 40 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsXPConnect with size 92 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsXTFService with size 40 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsXULPopupManager with size 64 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsXULPrototypeCache with size 172 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of xpcPerThreadData with size 52 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 140 instance of xptiFile with size 32 byte each (4480 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 12 instance of xptiInterfaceInfo with size 16 byte each (192 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of xptiInterfaceInfoManager with size 144 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of xptiWorkingSet with size 52 byte
