Intermittent mochitest-chrome leak of 366891 byte (1 AtomImpl, 1 BackstagePass, 1 CondVar, 1 DR_State, 1 DocumentRule)
282 XPCWrappedNative 56 27272 278274 487 ( 5498.05 +/- 1541.84) 2612614 487 ( 5547.42 +/- 1516.45)
283 XPCWrappedNativeProto 32 2784 50424 87 ( 1313.74 +/- 292.89) 0 0 ( 0.00 +/- 0.00)
284 XPCWrappedNativeScope 96 1344 2116 14 ( 148.96 +/- 31.62) 0 0 ( 0.00 +/- 0.00)
288 gfxASurface 24 576 28420 24 ( 393.23 +/- 121.11) 0 0 ( 0.00 +/- 0.00)
305 imgCacheEntry 32 128 1031 4 ( 66.50 +/- 23.92) 8886 4 ( 102.97 +/- 35.97)
308 imgLoader 44 44 1 1 ( 1.00 +/- 0.00) 169 2 ( 6.36 +/- 3.29)
310 imgRequest 176 2112 1031 12 ( 128.38 +/- 40.01) 28155 16 ( 232.47 +/- 81.42)
311 imgRequestProxy 68 816 7547 12 ( 143.25 +/- 59.83) 136157 12 ( 231.12 +/- 82.96)
325 mozilla::css::Declaration 32 14912 77757 466 ( 7274.49 +/- 2028.54) 0 0 ( 0.00 +/- 0.00)
358 nsAtomList 8 704 61366 88 ( 6320.35 +/- 2159.31) 0 0 ( 0.00 +/- 0.00)
360 nsAttrSelector 32 11232 45650 351 ( 3897.78 +/- 1180.19) 0 0 ( 0.00 +/- 0.00)
378 nsBaseURLParser 12 24 3 2 ( 2.00 +/- 0.82) 497753 291 ( 3645.78 +/- 923.72)
380 nsBasicDecoderSupport 20 20 9977 1 ( 7.48 +/- 4.19) 39577 1 ( 8.25 +/- 4.23)
381 nsBasicEncoder 16 16 18 1 ( 2.46 +/- 0.74) 90 1 ( 3.21 +/- 0.89)
382 nsBidiKeyboard 68 68 1 1 ( 1.00 +/- 0.00) 4 1 ( 1.71 +/- 0.76)
388 nsBoxLayout 12 24 973 2 ( 16.49 +/- 12.81) 375918 2 ( 407.91 +/- 176.86)
404 nsCSSRect 32 2112 269142 66 ( 1579.83 +/- 734.68) 0 0 ( 0.00 +/- 0.00)
405 nsCSSRect_heap 40 2640 29333 66 ( 2106.81 +/- 607.24) 140740 66 ( 1711.84 +/- 732.80)
407 nsCSSScanner 512 1536 3 3 ( 2.00 +/- 1.00) 0 0 ( 0.00 +/- 0.00)
408 nsCSSSelector 40 63320 121411 1583 (10783.14 +/- 3336.17) 0 0 ( 0.00 +/- 0.00)
409 nsCSSSelectorList 12 13596 92752 1133 ( 6999.28 +/- 2047.92) 0 0 ( 0.00 +/- 0.00)
412 nsCSSStyleSheet 72 576 8342 8 ( 173.96 +/- 60.69) 138461 14 ( 450.25 +/- 111.91)
413 nsCSSStyleSheetInner 76 532 4893 7 ( 157.72 +/- 68.50) 0 0 ( 0.00 +/- 0.00)
414 nsCSSValue::Array 16 480 39886 30 ( 1201.40 +/- 631.17) 48225 15 ( 590.13 +/- 316.70)
415 nsCSSValue::Image 40 400 960 10 ( 130.62 +/- 39.44) 15263 10 ( 97.96 +/- 42.94)
416 nsCSSValue::URL 28 4340 11845 155 ( 905.69 +/- 237.93) 77859 155 ( 1014.00 +/- 357.64)
417 nsCSSValueGradient 56 56 863 1 ( 203.40 +/- 90.45) 1726 1 ( 203.84 +/- 90.49)
418 nsCSSValueGradientStop 16 32 1935 2 ( 456.37 +/- 204.22) 0 0 ( 0.00 +/- 0.00)
419 nsCSSValueList 12 1848 73107 154 ( 4084.83 +/- 1492.96) 0 0 ( 0.00 +/- 0.00)
420 nsCSSValueList_heap 20 2600 47808 130 ( 3299.10 +/- 928.32) 305712 130 ( 2534.65 +/- 1228.23)
421 nsCSSValuePair 16 368 32290 23 ( 671.67 +/- 267.91) 0 0 ( 0.00 +/- 0.00)
422 nsCSSValuePairList 20 340 6523 17 ( 473.28 +/- 138.46) 0 0 ( 0.00 +/- 0.00)
423 nsCSSValuePairList_heap 28 476 6391 17 ( 456.33 +/- 132.48) 26073 17 ( 370.79 +/- 179.90)
424 nsCSSValuePair_heap 24 528 8905 22 ( 574.55 +/- 159.16) 50591 22 ( 455.87 +/- 197.08)
425 nsCStringKey 20 3760 189033 188 ( 1431.14 +/- 488.69) 0 0 ( 0.00 +/- 0.00)
438 nsCategoryObserver 64 192 8 3 ( 4.69 +/- 2.10) 280 3 ( 28.26 +/- 7.51)
456 nsCollation 4 4 4 1 ( 1.71 +/- 0.76) 0 0 ( 0.00 +/- 0.00)
458 nsCollationWin 20 20 4 1 ( 1.71 +/- 0.76) 11 1 ( 2.24 +/- 0.94)
468 nsConsoleMessage 24 24 148 1 ( 6.05 +/- 5.49) 661 1 ( 16.18 +/- 16.05)
469 nsConsoleService 72 72 1 1 ( 1.00 +/- 0.00) 4052 2 ( 9.93 +/- 8.86)
475 nsContentPolicy 36 36 1 1 ( 1.00 +/- 0.00) 3576 1 ( 3.01 +/- 0.73)
484 nsCookiePermission 40 40 1 1 ( 1.00 +/- 0.00) 16 1 ( 4.45 +/- 2.20)
485 nsCookieService 80 80 1 1 ( 1.00 +/- 0.00) 205 1 ( 5.79 +/- 1.90)
487 nsCryptoHash 28 28 53 1 ( 4.26 +/- 1.31) 274 1 ( 6.07 +/- 2.70)
491 nsDNSService 52 52 1 1 ( 1.00 +/- 0.00) 664 2 ( 21.36 +/- 3.02)
508 nsDOMEventTargetHelper 32 32 472 1 ( 17.80 +/- 11.99) 474964 2 ( 38.59 +/- 26.35)
535 nsDOMStorageManager 60 60 1 1 ( 1.00 +/- 0.00) 115 1 ( 3.41 +/- 1.28)
550 nsDateTimeFormatWin 40 40 334 1 ( 1.50 +/- 0.50) 1001 1 ( 2.17 +/- 0.69)
620 nsEffectiveTLDService 48 48 1 1 ( 1.00 +/- 0.00) 3663 1 ( 5.31 +/- 1.38)
626 nsErrorService 132 132 1 1 ( 1.00 +/- 0.00) 8 1 ( 2.13 +/- 0.92)
628 nsEventListenerManager 72 72 30315 1 ( 814.75 +/- 396.44) 626233 1 ( 731.71 +/- 333.36)
630 nsEventListenerThisTranslator 12 12 1 1 ( 1.00 +/- 0.00) 3 1 ( 1.40 +/- 0.55)
632 nsExceptionManager 24 24 1 1 ( 1.00 +/- 0.00) 11340 1 ( 3.00 +/- 0.71)
656 nsFocusManager 56 56 1 1 ( 1.00 +/- 0.00) 5799 1 ( 7.04 +/- 2.10)
671 nsFrameList 8 8 6154970 1 (11758.57 +/- 1040.74) 0 0 ( 0.00 +/- 0.00)
705 nsHTMLDNSPrefetch::nsDeferrals 4136 4136 1 1 ( 1.00 +/- 0.00) 9692 1 ( 2.00 +/- 0.71)
706 nsHTMLDNSPrefetch::nsListener 12 12 1 1 ( 1.00 +/- 0.00) 205 1 ( 11.20 +/- 12.97)
756 nsHashKey 8 1520 752832 190 ( 4159.70 +/- 1878.36) 0 0 ( 0.00 +/- 0.00)
757 nsHashPropertyBag 48 48 13140 1 ( 176.31 +/- 74.08) 236537 1 ( 221.57 +/- 86.70)
758 nsHashtable 44 5588 27658 127 ( 1505.44 +/- 462.52) 0 0 ( 0.00 +/- 0.00)
762 nsHtml5AttributeName 16 9280 974 580 ( 535.02 +/- 249.65) 0 0 ( 0.00 +/- 0.00)
764 nsHtml5ElementName 16 6288 395 393 ( 198.98 +/- 114.71) 0 0 ( 0.00 +/- 0.00)
765 nsHtml5HtmlAttributes 24 24 2751 1 ( 76.62 +/- 134.41) 0 0 ( 0.00 +/- 0.00)
785 nsHttpChannel 632 632 341 1 ( 11.70 +/- 7.23) 18802 1 ( 53.67 +/- 43.78)
786 nsHttpChannelAuthProvider 136 136 341 1 ( 2.67 +/- 3.05) 1023 1 ( 3.34 +/- 3.08)
789 nsHttpConnectionInfo 40 40 351 1 ( 20.53 +/- 8.11) 2638 2 ( 24.12 +/- 8.33)
790 nsHttpConnectionMgr 184 184 1 1 ( 1.00 +/- 0.00) 1396 1 ( 2.20 +/- 0.82)
793 nsHttpHandler 368 368 1 1 ( 1.00 +/- 0.00) 14563 2 ( 15.29 +/- 11.98)
795 nsHttpTransaction 352 352 274 1 ( 1.78 +/- 0.94) 977 1 ( 3.71 +/- 2.63)
797 nsIDNService 64 64 1 1 ( 1.00 +/- 0.00) 1458 4 ( 8.98 +/- 1.72)
800 nsIOService 136 136 1 1 ( 1.00 +/- 0.00) 357895 3 ( 26.41 +/- 10.71)
804 nsIdleServiceDaily 60 60 1 1 ( 1.00 +/- 0.00) 17 2 ( 2.75 +/- 0.76)
805 nsIdleServiceWin 56 56 1 1 ( 1.00 +/- 0.00) 248 1 ( 6.82 +/- 1.98)
807 nsImageFrame::IconLoad 44 44 1 1 ( 1.00 +/- 0.00) 47 1 ( 6.55 +/- 2.10)
816 nsInputStreamPump 88 88 4550 1 ( 3.20 +/- 3.09) 24844 1 ( 5.94 +/- 6.09)
822 nsInterfaceRequestorAgg 20 20 613 1 ( 2.55 +/- 1.38) 4258 1 ( 4.46 +/- 2.26)
832 nsJISx4051LineBreaker 12 12 1 1 ( 1.00 +/- 0.00) 6 1 ( 2.18 +/- 0.98)
835 nsJSCID 52 4368 3519 84 ( 325.08 +/- 88.60) 29336 168 ( 689.07 +/- 186.17)
839 nsJSID 36 360 17747 10 ( 269.04 +/- 185.34) 113085 11 ( 922.04 +/- 841.44)
840 nsJSIID 24 7512 8517 313 ( 980.43 +/- 246.70) 116592 626 ( 2124.51 +/- 496.95)
851 nsLayoutStatics 1 1 1 1 ( 1.00 +/- 0.00) 116112 1 ( 277.52 +/- 112.37)
852 nsLayoutStylesheetCache 44 44 1 1 ( 1.00 +/- 0.00) 11 1 ( 4.62 +/- 1.94)
859 nsLocalFile 88 264 39055 3 ( 371.81 +/- 264.51) 144989 3 ( 669.30 +/- 655.91)
869 nsMediaList 20 120 1850 6 ( 92.92 +/- 39.41) 6353 8 ( 115.20 +/- 43.59)
880 nsMutationCallbackThisTranslator 12 12 1 1 ( 1.00 +/- 0.00) 3 1 ( 1.40 +/- 0.55)
893 nsNativeTheme 112 112 1 1 ( 1.00 +/- 0.00) 3331 1 ( 18.71 +/- 10.27)
894 nsNativeThemeWin 116 116 1 1 ( 1.00 +/- 0.00) 3331 1 ( 18.71 +/- 10.27)
911 nsNotifyAddrListener 32 32 1 1 ( 1.00 +/- 0.00) 13 1 ( 4.20 +/- 1.58)
912 nsNullPrincipal 16 48 12174 3 ( 262.74 +/- 98.90) 72084 3 ( 289.64 +/- 120.73)
913 nsNullPrincipalURI 40 120 13878 3 ( 289.40 +/- 115.46) 33089 3 ( 334.22 +/- 145.76)
916 nsObserverService 48 48 1 1 ( 1.00 +/- 0.00) 87529 7 ( 32.57 +/- 16.92)
925 nsParserService 12 12 1 1 ( 1.00 +/- 0.00) 4 1 ( 1.71 +/- 0.76)
930 nsPermissionManager 96 96 1 1 ( 1.00 +/- 0.00) 326 2 ( 7.36 +/- 2.73)
931 nsPersistentProperties 80 1600 53 20 ( 21.43 +/- 8.93) 159 20 ( 20.54 +/- 9.43)
932 nsPipe 176 176 11160 1 ( 54.30 +/- 65.24) 204311 3 ( 558.35 +/- 656.75)
947 nsPrefBranch 76 304 301 4 ( 15.34 +/- 4.30) 3775 4 ( 32.32 +/- 16.55)
949 nsPrefixSetReporter 28 28 1 1 ( 1.00 +/- 0.00) 35 1 ( 6.94 +/- 3.14)
951 nsPrincipal 56 7392 7976 132 ( 392.59 +/- 106.61) 127894 144 ( 1246.13 +/- 440.37)
958 nsProperties 8 96 1030 12 ( 128.21 +/- 39.55) 3098 12 ( 128.23 +/- 40.28)
961 nsProxyInfo 48 48 349 1 ( 16.59 +/- 7.97) 3659 2 ( 20.61 +/- 9.20)
962 nsPseudoClassList 12 4848 25549 404 ( 1776.66 +/- 594.15) 0 0 ( 0.00 +/- 0.00)
968 nsRDFResource 28 84 3094 3 ( 145.81 +/- 61.03) 457868 3 ( 4765.01 +/- 2963.41)
976 nsRect 16 16 289712969 1 (30541.88 +/- 3287.91) 0 0 ( 0.00 +/- 0.00)
979 nsRepeatService 24 24 1 1 ( 1.00 +/- 0.00) 403 1 ( 2.91 +/- 0.94)
1023 nsSameOriginChecker 16 16 1 1 ( 1.00 +/- 0.00) 11853 1 ( 151.63 +/- 48.00)
1024 nsSampleWordBreaker 12 12 1 1 ( 1.00 +/- 0.00) 4 1 ( 1.71 +/- 0.76)
1030 nsScriptError 96 7872 1403 82 ( 141.66 +/- 89.57) 8477 82 ( 144.30 +/- 89.63)
1034 nsScriptNameSpaceManager 88 176 2 2 ( 1.50 +/- 0.71) 50 1 ( 2.14 +/- 0.70)
1035 nsScriptSecurityManager 80 80 1 1 ( 1.00 +/- 0.00) 57444 3 ( 18.70 +/- 2.21)
1057 nsSocketTransportService 120 120 1 1 ( 1.00 +/- 0.00) 8599 1 ( 11.49 +/- 1.75)
1060 nsStandardURL 184 53544 152049 291 ( 3658.12 +/- 901.76) 1922791 559 ( 8409.20 +/- 2156.65)
1062 nsStaticCaseInsensitiveNameTable 48 192 4 4 ( 2.50 +/- 1.29) 0 0 ( 0.00 +/- 0.00)
1066 nsStreamConverterService 16 16 1 1 ( 1.00 +/- 0.00) 192 1 ( 2.35 +/- 0.86)
1070 nsStrictTransportSecurityService 60 60 1 1 ( 1.00 +/- 0.00) 37 1 ( 3.79 +/- 0.93)
1071 nsStringBuffer 8 18272 2119925 2284 (31746.46 +/- 6590.45) 5842615 2403 (45916.55 +/- 9368.03)
1072 nsStringBundle 52 1144 59 22 ( 24.50 +/- 10.10) 5330 22 ( 53.90 +/- 18.77)
1073 nsStringBundleService 112 112 1 1 ( 1.00 +/- 0.00) 5261 1 ( 10.20 +/- 5.86)
1076 nsStringInputStream 40 40 3203 1 ( 10.45 +/- 4.02) 12706 1 ( 13.82 +/- 11.01)
1107 nsSupportsCStringImpl 24 288 1085 12 ( 119.50 +/- 42.23) 4567 12 ( 118.93 +/- 42.52)
1118 nsSystemPrincipal 16 16 1 1 ( 1.00 +/- 0.00) 877482 186 ( 783.28 +/- 175.90)
1119 nsTArray_base 4 3368 29728843 842 (48495.05 +/- 15090.43) 0 0 ( 0.00 +/- 0.00)
1133 nsThread 112 224 523 2 ( 21.61 +/- 3.55) 118831 8 ( 144.43 +/- 34.81)
1138 nsTimerImpl 72 360 21564 5 ( 40.60 +/- 15.99) 163226 5 ( 67.92 +/- 35.69)
1149 nsTransportEventSinkProxy 40 40 281 1 ( 1.77 +/- 0.93) 988 1 ( 2.89 +/- 1.60)
1161 nsURIHashKey 8 296 18140 37 ( 1478.02 +/- 291.56) 0 0 ( 0.00 +/- 0.00)
1166 nsUnicodeNormalizer 12 12 1 1 ( 1.00 +/- 0.00) 4 1 ( 1.71 +/- 0.76)
1171 nsUrlClassifierDBService 76 76 1 1 ( 1.00 +/- 0.00) 306 1 ( 12.43 +/- 2.17)
1172 nsUrlClassifierDBServiceWorker 556 556 1 1 ( 1.00 +/- 0.00) 24 1 ( 4.00 +/- 1.79)
1174 nsUrlClassifierPrefixSet 64 64 1 1 ( 1.00 +/- 0.00) 2 2 ( 1.50 +/- 0.71)
1180 nsVoidArray 4 184 637039 46 ( 5758.19 +/- 1503.02) 0 0 ( 0.00 +/- 0.00)
1182 nsWeakReference 16 272 22426 17 ( 1236.34 +/- 444.50) 281439 17 ( 2414.63 +/- 643.19)
1217 nsXBLService 56 56 1 1 ( 1.00 +/- 0.00) 2655 1 ( 3.14 +/- 0.79)
1222 nsXHREventTarget 64 64 183 1 ( 6.77 +/- 3.74) 23557 2 ( 25.96 +/- 12.05)
1234 nsXMLHttpRequest 360 360 182 1 ( 6.74 +/- 3.73) 23552 2 ( 25.95 +/- 12.06)
1240 nsXPCComponents 64 896 2116 14 ( 148.96 +/- 31.62) 32801 56 ( 617.22 +/- 132.84)
1241 nsXPCComponents_Classes 20 260 974 13 ( 110.63 +/- 26.16) 27967 52 ( 407.78 +/- 75.01)
1245 nsXPCComponents_ID 20 260 67 13 ( 35.41 +/- 16.65) 1057 13 ( 78.49 +/- 42.87)
1246 nsXPCComponents_Interfaces 28 364 1097 13 ( 114.89 +/- 25.73) 151523 52 ( 417.89 +/- 53.48)
1247 nsXPCComponents_Results 20 220 271 11 ( 60.56 +/- 17.63) 5321 38 ( 227.47 +/- 53.53)
1248 nsXPCComponents_Utils 24 312 573 13 ( 104.65 +/- 29.50) 12457 29 ( 241.18 +/- 50.82)
1254 nsXPCWrappedJS 64 192 19653 3 ( 995.13 +/- 344.91) 502370 5 ( 2252.38 +/- 633.50)
1255 nsXPCWrappedJSClass 44 88 1903 2 ( 53.49 +/- 9.95) 220881 3 ( 988.07 +/- 312.00)
1256 nsXPConnect 116 116 1 1 ( 1.00 +/- 0.00) 1715053 1 ( 13.20 +/- 2.76)
1261 nsXTFService 44 44 1 1 ( 1.00 +/- 0.00) 4 1 ( 1.71 +/- 0.76)
1271 nsXULPopupManager 76 76 1 1 ( 1.00 +/- 0.00) 2533 1 ( 4.27 +/- 1.16)
1273 nsXULPrototypeCache 236 236 1 1 ( 1.00 +/- 0.00) 36 1 ( 4.73 +/- 1.11)
1318 xpc::CompartmentPrivate 28 3276 5247 117 ( 380.71 +/- 103.49) 0 0 ( 0.00 +/- 0.00)
1320 xpcPerThreadData 44 44 2 1 ( 1.33 +/- 0.58) 0 0 ( 0.00 +/- 0.00)
1321 xptiInterfaceInfo 20 4600 16125 230 ( 427.23 +/- 101.56) 564437 369 ( 1355.54 +/- 247.22)
1322 xptiInterfaceInfoManager 128 128 1 1 ( 1.00 +/- 0.00) 144320 14 ( 121.08 +/- 18.33)
1323 xptiWorkingSet 88 88 1 1 ( 1.00 +/- 0.00) 0 0 ( 0.00 +/- 0.00)

nsTraceRefcntImpl::DumpStatistics: 1323 entry
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 366891 byte during test execution
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 162 instance of AtomImpl with size 24 byte each (3888 byte total)
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 1 instance of BackstagePass with size 24 byte
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 1 instance of CondVar with size 16 byte
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 1 instance of DR_State with size 32 byte
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 1 instance of DocumentRule with size 36 byte
}
