Firefox "Not Responding" hang totally unexpected and not understandable, not possible for me to connect to other activity.
User-Agent:       Mozilla/5.0 (Macintosh; U; PPC Mac OS X Mach-O; en-US; rv:1.7.12) Gecko/20050922 Firefox/1.0.7
Build Identifier: Mozilla/5.0 (Macintosh; U; PPC Mac OS X Mach-O; en-US; rv:1.7.12) Gecko/20050922 Firefox/1.0.7

iMac G5, Mac OS X 10.4.2, Earthlink Dial-up Connection.

The best I can do is provide a copy of an OS X Activity Monitor Sample of the Firefox Process while it was in the Not Responding state:

Analysis of sampling pid 1608 every 10.000000 milliseconds
Call graph:
                  89 PL_PostEvent
                    89 PL_DestroyEvent
                      89 PostEventToQueue
                        89 PostEventToQueueInternal
                          89 EventIteratorHandleAdd
                            89 MPEnterCriticalRegion
                              89 pthread_cond_wait
                                89 semaphore_wait_signal_trap
                                  89 semaphore_wait_signal_trap

Total number in stack (recursive counted multiple, when >=5):
        9       _pthread_body
        7       JVM_GetClassMethodsCount
        7       mach_msg
        7       mach_msg_trap
        6       JVM_NewInstance

Sort by top of stack, same collapsed (when >= 5):
        mach_msg_trap        623
        semaphore_wait_signal_trap        267
Sample analysis of process 1608 written to file /dev/stdout
Sampling process 1608 each 10 msecs 100 times


Reproducible: Didn't try

Steps to Reproduce:
1. Developers go to work and try to figure out what the problem is.
2. If it reoccurs, I will file another report providing as much info as possible.
3. Nota bene: I am also not being paid for this work, which I once was as a particularly detestable and boring aspect of my job. 

It is not clear to me when this hang occurred: before or after I returned to this temporarily inactive window. It came as a complete surprise. During the short time (~ 1 week or less) I have used Firefox, it has impressed me and I was not expecting any problems.

I quit Firefox and relaunched it, reselected the site and everything is working okey so far.



Default download theme with no additional plugins or extensions.
